article_id,prod_name,product_type_name,product_group_name,colour_group_name,index_group_name,section_name,garment_group_name,detail_desc
0126589010,2p Claw,Hair clip,Accessories,Light Orange,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
0126589011,2p Claw,Hair clip,Accessories,Silver,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
0126589012,2p Claw,Hair clip,Accessories,Gold,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
0129085001,Pirate Leggings (1),Leggings/Tights,Garment Lower body,Black,Ladieswear,Womens Everyday Basics,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
0129085026,Pirate Leggings (1),Leggings/Tights,Garment Lower body,White,Ladieswear,Womens Everyday Basics,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
0129085027,Pirate Leggings (1),Leggings/Tights,Garment Lower body,Grey,Ladieswear,Womens Everyday Basics,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
0130035001,Black Umbrella,Umbrella,Items,Black,Ladieswear,Womens Small accessories,Accessories,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.
0141661022,Velour pyjama,Pyjama jumpsuit/playsuit,Nightwear,White,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
0141661025,Velour pyjama,Pyjama jumpsuit/playsuit,Nightwear,Light Pink,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
0144993001,Mama 100 den 1p Tights,Underwear Tights,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt tights with an elasticated waist and extra space for a growing tummy. 100 denier.
0145872001,Dorian l/s basic,Sweater,Garment Upper body,Black,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872037,Dorian l/s basic,Sweater,Garment Upper body,Dark Grey,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872043,Dorian l/s basic,Sweater,Garment Upper body,White,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872051,Dorian l/s basic,Top,Garment Upper body,Black,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872052,Dorian l/s basic,Sweater,Garment Upper body,Dark Blue,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872053,Dorian l/s basic,Sweater,Garment Upper body,Dark Grey,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0146706001,Tanktop body white 3PACK,Bodysuit,Garment Upper body,White,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
0146706004,Tanktop body white 3PACK,Bodysuit,Garment Upper body,White,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
0146706005,3P TANKTOP BODY,Bodysuit,Garment Upper body,Light Grey,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
0146721001,Hair Ring,Hair string,Accessories,Gold,Ladieswear,Womens Small accessories,Accessories,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
0146721002,Hair Ring,Hair string,Accessories,Silver,Ladieswear,Womens Small accessories,Accessories,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
0146730001,200 den 1p leggings,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Opaque matt leggings with an elasticated waist. 200 denier.
0147339034,6P SS BODY,Bodysuit,Garment Upper body,White,Baby/Children,Baby Essentials & Complements,Jersey Basic,Short-sleeved bodysuits in organic cotton jersey with press-studs at the crotch.
0148033001,Nouvelle 1p Stay Up,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
0148033006,Nouvelle 1p Stay Up,Socks,Socks & Tights,Beige,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
0150959011,THOMPSON woven sport pants,Trousers,Garment Lower body,Black,Sport,Men H&M Sport,Jersey Fancy,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
0150959013,THOMPSON woven sport pants,Trousers,Garment Lower body,Dark Grey,Sport,Men H&M Sport,Jersey Fancy,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
0153115019,OP Strapless^,Bra,Underwear,Black,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115020,OP Strapless^,Bra,Underwear,Light Beige,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115021,OP Strapless^,Bra,Underwear,White,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115039,OP Strapless^,Bra,Underwear,Dark Pink,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115040,OP Strapless^,Bra,Underwear,Yellowish Brown,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115043,OP Strapless^,Bra,Underwear,Yellowish Brown,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0156224001,Box 4p Socks,Socks,Socks & Tights,Beige,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Semi-matte socks with a short shaft. 20 denier.
0156224002,Box 4p Socks,Unknown,Unknown,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Semi-matte socks with a short shaft. 20 denier.
0156227001,Box 4p Kneehighs,Underwear Tights,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Four pairs of knee highs. 20 denier.
0156227002,Box 4p Kneehighs,Underwear Tights,Socks & Tights,Beige,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Four pairs of knee highs. 20 denier.
0156231001,Box 4p Tights,Underwear Tights,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt tights with an elasticated waist. 20 denier.
0156231002,Box 4p Tights,Leggings/Tights,Garment Lower body,Beige,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt tights with an elasticated waist. 20 denier.
0156289011,Slim Cheapo 79,Trousers,Garment Lower body,Blue,Baby/Children,Kids Boy,Trousers Denim,"5-pocket slim-fit jeans in washed denim with an adjustable elasticated waist, zip fly with a press-stud and slim legs."
0156610001,Connor pants,Trousers,Garment Lower body,Black,Sport,Men H&M Sport,Jersey Fancy,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
0156610007,Anton sport pant,Trousers,Garment Lower body,Black,Sport,Men H&M Sport,Jersey Fancy,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
0156610010,Anton sport pant,Trousers,Garment Lower body,Black,Sport,Men H&M Sport,Jersey Fancy,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
0158340001,Highwaist 30 den 1p Tights,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,High-waisted tights that lift the bum and shape the waist and thighs. 30 denier.
0160442007,3p Sneaker Socks,Socks,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
0160442010,3p Sneaker Socks,Socks,Socks & Tights,White,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
0160442042,Sneaker 3p Socks,Socks,Socks & Tights,Light Grey,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
0160442043,3p Sneaker Socks,Socks,Socks & Tights,Light Grey,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
0162074062,Sigge sneaker sock 5p,Socks,Socks & Tights,Pink,Divided,Divided Basics,"Under-, Nightwear",Fine-knit trainer socks in various colours.
0162074069,Sigge sneaker sock 5p,Socks,Socks & Tights,Grey,Divided,Divided Basics,"Under-, Nightwear",Fine-knit trainer socks in various colours.
0162074071,Sigge sneaker sock 5p,Socks,Socks & Tights,Black,Divided,Divided Basics,"Under-, Nightwear",Fine-knit trainer socks in various colours.
0163734002,KOMPIS 2-pack L/S,Top,Garment Upper body,Black,Baby/Children,Girls Underwear & Basics,Jersey Basic,Long-sleeved tops in soft organic cotton.
0163734054,KOMPIS 2-pack L/S,Top,Garment Upper body,Light Blue,Baby/Children,Girls Underwear & Basics,Jersey Basic,Long-sleeved tops in soft organic cotton.
0164912035,Scallop 5p Socks,Socks,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Fine-knit socks with a scalloped edge.
0164912039,Scallop 5p Socks,Socks,Socks & Tights,Dark Pink,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Fine-knit socks with a scalloped edge.
0174057022,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Light Pink,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057026,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Light Grey,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057027,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Dark Blue,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057028,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Light Pink,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057029,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,White,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057030,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Light Turquoise,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057032,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Dark Blue,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057033,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Light Pink,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057035,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Light Turquoise,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057036,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Yellow,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057037,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Dark Blue,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057038,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Light Pink,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057039,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Dark Blue,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057040,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Light Pink,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0176209023,Mr Harrington w/hood,Hoodie,Garment Upper body,Black,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209025,Mr Harrington w/hood,Hoodie,Garment Upper body,Greenish Khaki,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209033,Mr Harrington w/hood,Hoodie,Garment Upper body,Yellowish Brown,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209035,Mr Harrington w/hood,Hoodie,Garment Upper body,Grey,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209039,Mr Harrington w/hood,Hoodie,Garment Upper body,Greenish Khaki,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209040,Mr Harrington w/hood,Hoodie,Garment Upper body,Dark Blue,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209044,Mr Harrington w/hood,Hoodie,Garment Upper body,Dark Yellow,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209046,Mr Harrington w/hood,Hoodie,Garment Upper body,Dark Grey,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176550016,Sleep bag padded,Sleep Bag,Underwear/nightwear,Dark Blue,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176550017,Sleep bag padded,Sleep Bag,Underwear/nightwear,Light Pink,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176550018,Sleep bag padded,Sleep Bag,Underwear/nightwear,Off White,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176550020,Sleep bag padded,Sleep Bag,Underwear/nightwear,Dark Blue,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176550021,Sleep bag padded,Sleep Bag,Underwear/nightwear,White,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176754001,2 Row Braided Headband (1),Hair/alice band,Accessories,Black,Ladieswear,Womens Small accessories,Accessories,Two-strand hairband with braids in imitation suede and elastic at the back.
0176754003,2 Row Braided Headband (1),Hair/alice band,Accessories,Yellowish Brown,Ladieswear,Womens Small accessories,Accessories,Two-strand hairband with braids in imitation suede and elastic at the back.
0176754019,2 Row Braided Headband (1),Hair/alice band,Accessories,Light Orange,Ladieswear,Womens Small accessories,Accessories,Two-strand hairband with braids in imitation suede and elastic at the back.
0179123001,Long Leggings,Leggings/Tights,Garment Lower body,Black,Ladieswear,Womens Everyday Basics,Jersey Basic,Jersey leggings with an elasticated waist.
0179123040,Long Leggings (1),Leggings/Tights,Garment Lower body,Dark Grey,Ladieswear,Womens Everyday Basics,Jersey Basic,Jersey leggings with an elasticated waist.
0179208001,Control Top 100 den 1p Tights,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.
0179208008,Control Top 100 den 1p Tights,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.
0179393001,Basic 2p Overknee,Socks,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Fine-knit over-the-knee socks.
0179393018,Basic 2p Overknee,Socks,Socks & Tights,Dark Grey,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Fine-knit over-the-knee socks.
0179950001,Austin basic leather hip belt,Belt,Accessories,Black,Ladieswear,Womens Big accessories,Accessories,Leather belt with a metal buckle. Width 2.5 cm.
0179950002,Austin basic leather hip belt,Belt,Accessories,Yellowish Brown,Ladieswear,Womens Big accessories,Accessories,Leather belt with a metal buckle. Width 2.5 cm.
0179950017,Austin basic leather hip belt,Belt,Accessories,Black,Ladieswear,Womens Big accessories,Accessories,Leather belt with a metal buckle. Width 2.5 cm.
0181160009,Eva chelsea boot,Boots,Shoes,Yellowish Brown,Divided,Divided Accessories,Shoes,Chelsea boots with elasticated gores in the sides and rubber soles.
0181448022,Jenny 5-pack,Socks,Socks & Tights,Black,Divided,Divided Basics,"Under-, Nightwear",Fine-knit socks.
0181448102,Jenny 5-pack,Socks,Socks & Tights,Light Pink,Divided,Divided Basics,"Under-, Nightwear",Fine-knit socks.
0181448103,Jenny 5-pack,Socks,Socks & Tights,Other Pink,Divided,Divided Basics,"Under-, Nightwear",Fine-knit socks.
0181448104,Jenny 5-pack,Socks,Socks & Tights,Dark Purple,Divided,Divided Basics,"Under-, Nightwear",Fine-knit socks.
0181448105,Jenny 5-pack,Socks,Socks & Tights,Black,Divided,Divided Basics,"Under-, Nightwear",Fine-knit socks.
0181448106,Jenny 5-pack,Socks,Socks & Tights,Red,Divided,Divided Basics,"Under-, Nightwear",Fine-knit socks.
0181448109,Jenny 5-pack,Socks,Socks & Tights,Yellow,Divided,Divided Basics,"Under-, Nightwear",Fine-knit socks.
0182909001,Fleece 1 p tights,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Opaque tights with an elasticated waist and soft fleece inside.
0183815013,Bobby elastic waist belt,Belt,Accessories,Black,Ladieswear,Womens Big accessories,Accessories,"Wide, elastic waist belt with imitation leather details and a metal fastener. Width 6.5 cm."
0184121021,FIFTY SHADES moulded halternec,Bikini top,Swimwear,White,Ladieswear,"Womens Swimwear, beachwear",Swimwear,"Bikini top with underwired, moulded, lightly padded cups, a metal fastener at the back, ties at the back of the neck and a bow at the front."
