date,transactions,price_sum,avg_price
2019-02-03,45259,1198.2719,0.026476
2019-02-04,33631,924.2031,0.027481
2019-02-05,35743,996.0708,0.027868
2019-02-06,37340,1038.6576,0.027816
2019-02-07,39423,1084.7439,0.027516
2019-02-08,36732,1014.0703,0.027607
2019-02-09,41220,1112.5898,0.026992
2019-02-10,36967,1062.4702,0.028741
2019-02-11,32624,919.1648,0.028174
2019-02-12,34629,987.6935,0.028522
2019-02-13,33441,932.5161,0.027885
2019-02-14,33707,894.8379,0.026548
2019-02-15,37835,1048.5338,0.027713
2019-02-16,43012,1192.5398,0.027726
2019-02-17,33705,964.1225,0.028605
2019-02-18,31761,900.1563,0.028342
2019-02-19,33761,954.6383,0.028276
2019-02-20,43688,1194.8371,0.027349
2019-02-21,58728,1497.1818,0.025493
2019-02-22,64026,1620.946,0.025317
2019-02-23,75668,1883.8648,0.024896
2019-02-24,34618,975.5947,0.028182
2019-02-25,39670,1124.5882,0.028349
2019-02-26,43079,1232.21,0.028603
2019-02-27,45506,1273.2129,0.027979
2019-02-28,41154,1166.5611,0.028346
2019-03-01,42145,1172.5516,0.027822
2019-03-02,40748,1112.818,0.02731
2019-03-03,35154,1004.4725,0.028573
2019-03-04,30308,905.8776,0.029889
2019-03-05,34652,1022.0428,0.029494
2019-03-06,49580,1398.3867,0.028205
2019-03-07,44575,1256.2394,0.028183
2019-03-08,39791,1124.1033,0.02825
2019-03-09,40750,1145.8108,0.028118
2019-03-10,39697,1137.2996,0.02865
2019-03-11,35607,1042.212,0.02927
2019-03-12,37488,1097.7772,0.029283
2019-03-13,45230,1295.0295,0.028632
2019-03-14,39055,1112.1995,0.028478
2019-03-15,37282,1056.1241,0.028328
2019-03-16,51837,1421.5574,0.027424
2019-03-17,39506,1131.573,0.028643
2019-03-18,31074,891.4827,0.028689
2019-03-19,35556,1044.3345,0.029372
2019-03-20,41505,1239.9249,0.029874
2019-03-21,41778,1402.4354,0.033569
2019-03-22,43836,1295.3228,0.029549
2019-03-23,44283,1265.4963,0.028577
2019-03-24,40788,1205.881,0.029565
2019-03-25,37437,1141.7003,0.030497
2019-03-26,47173,1438.5639,0.030495
2019-03-27,49139,1497.0843,0.030466
2019-03-28,47074,1438.5028,0.030558
2019-03-29,47539,1421.0365,0.029892
2019-03-30,49560,1441.8075,0.029092
2019-03-31,46603,1389.3724,0.029813
2019-04-01,43981,1342.9219,0.030534
2019-04-02,42351,1290.3167,0.030467
2019-04-03,44936,1360.2898,0.030272
2019-04-04,42650,1290.2533,0.030252
2019-04-05,40220,1186.0803,0.02949
2019-04-06,119601,3100.9049,0.025927
2019-04-07,40873,1176.9503,0.028795
2019-04-08,34419,1029.069,0.029898
2019-04-09,39942,1214.9953,0.030419
2019-04-10,43708,1298.5104,0.029709
2019-04-11,41695,1375.8491,0.032998
2019-04-12,41923,1255.2261,0.029941
2019-04-13,44852,1288.4631,0.028727
2019-04-14,42322,1290.6524,0.030496
2019-04-15,41713,1269.7376,0.03044
2019-04-16,44930,1370.9561,0.030513
2019-04-17,45191,1305.7718,0.028895
2019-04-18,47593,1364.7494,0.028675
2019-04-19,53188,1459.7729,0.027446
2019-04-20,55558,1503.6065,0.027064
2019-04-21,32616,1000.2112,0.030666
2019-04-22,45237,1313.7511,0.029042
2019-04-23,61860,1775.101,0.028695
2019-04-24,80711,2223.1212,0.027544
2019-04-25,63624,1786.2594,0.028075
2019-04-26,54735,1536.4281,0.02807
2019-04-27,29402,874.5827,0.029746
2019-04-28,44907,1317.4582,0.029337
2019-04-29,48190,1404.148,0.029138
2019-04-30,63526,1818.8496,0.028632
2019-05-01,72875,2081.6302,0.028564
2019-05-02,68839,1979.0706,0.028749
2019-05-03,55773,1565.8852,0.028076
2019-05-04,52336,1457.22,0.027844
2019-05-05,41956,1214.8037,0.028954
2019-05-06,39273,1149.6397,0.029273
2019-05-07,43795,1278.8274,0.0292
2019-05-08,44209,1301.6146,0.029442
2019-05-09,38693,1108.9204,0.028659
2019-05-10,41585,1201.4843,0.028892
2019-05-11,42390,1166.6958,0.027523
2019-05-12,33240,973.6751,0.029292
2019-05-13,35508,1030.4539,0.02902
2019-05-14,41100,1181.2661,0.028741
2019-05-15,40695,1139.0608,0.02799
2019-05-16,97320,2593.4873,0.026649
2019-05-17,41312,1144.0054,0.027692
2019-05-18,47698,1309.2937,0.02745
2019-05-19,37283,1058.5984,0.028394
2019-05-20,43006,1224.3794,0.02847
2019-05-21,43676,1269.9756,0.029077
2019-05-22,51126,1404.8387,0.027478
2019-05-23,52773,1422.8441,0.026962
2019-05-24,58066,1538.0156,0.026487
2019-05-25,56786,1499.2711,0.026402
2019-05-26,51913,1427.1039,0.02749
2019-05-27,51676,1456.1808,0.028179
2019-05-28,49568,1376.2786,0.027765
2019-05-29,68148,1754.0329,0.025739
2019-05-30,47604,1287.1521,0.027039
2019-05-31,70097,1761.797,0.025134
2019-06-01,62619,1611.5733,0.025736
2019-06-02,58089,1546.3615,0.026621
2019-06-03,52676,1459.8275,0.027713
2019-06-04,51977,1431.9574,0.02755
2019-06-05,53398,1463.0075,0.027398
2019-06-06,51953,1414.3634,0.027224
2019-06-07,48905,1310.4709,0.026796
2019-06-08,46384,1224.6763,0.026403
2019-06-09,29798,858.819,0.028821
2019-06-10,39561,1066.3268,0.026954
2019-06-11,43337,1189.7766,0.027454
2019-06-12,36588,991.3781,0.027096
2019-06-13,78012,2340.5179,0.030002
2019-06-14,48555,1316.7543,0.027119
2019-06-15,46705,1236.1959,0.026468
2019-06-16,34579,959.0459,0.027735
2019-06-17,50067,1355.3136,0.02707
2019-06-18,60593,1613.8389,0.026634
2019-06-19,104052,2476.7143,0.023803
2019-06-20,92778,2199.041,0.023702
2019-06-21,84136,2001.1001,0.023784
2019-06-22,87802,2099.9261,0.023917
2019-06-23,80648,1971.1278,0.024441
2019-06-24,95110,2332.4854,0.024524
2019-06-25,91365,2251.6675,0.024645
2019-06-26,96337,2296.1859,0.023835
2019-06-27,82326,1936.8427,0.023527
2019-06-28,74998,1758.1444,0.023443
2019-06-29,63192,1487.9687,0.023547
2019-06-30,59662,1447.0091,0.024253
2019-07-01,72375,1784.8298,0.024661
2019-07-02,70056,1712.9863,0.024452
2019-07-03,71255,1712.1317,0.024028
2019-07-04,58684,1381.0366,0.023533
2019-07-05,56127,1331.6789,0.023726
2019-07-06,56162,1322.9706,0.023556
2019-07-07,44867,1102.6409,0.024576
2019-07-08,51888,1259.4,0.024272
2019-07-09,54224,1271.1682,0.023443
2019-07-10,63403,1440.0581,0.022713
2019-07-11,58167,1281.3133,0.022028
2019-07-12,49104,1095.1995,0.022304
2019-07-13,52472,1166.8787,0.022238
2019-07-14,45379,1056.5221,0.023282
2019-07-15,53061,1235.0443,0.023276
2019-07-16,51589,1185.5509,0.022981
2019-07-17,60641,1331.4281,0.021956
2019-07-18,57822,1279.2386,0.022124
2019-07-19,52222,1158.6218,0.022186
2019-07-20,47872,1064.8988,0.022245
2019-07-21,47870,1078.5365,0.022531
2019-07-22,59218,1317.7296,0.022252
2019-07-23,63567,1423.7246,0.022397
2019-07-24,124683,2217.2528,0.017783
2019-07-25,64314,1338.2122,0.020807
2019-07-26,57071,1180.2527,0.02068
2019-07-27,55024,1147.0198,0.020846
2019-07-28,47989,1031.6515,0.021498
2019-07-29,54247,1170.4533,0.021576
2019-07-30,50802,1123.5194,0.022116
2019-07-31,55339,1185.1797,0.021417
2019-08-01,52371,1119.96,0.021385
2019-08-02,41438,890.1683,0.021482
2019-08-03,40553,884.7249,0.021817
2019-08-04,34634,784.9745,0.022665
2019-08-05,44248,1018.8517,0.023026
2019-08-06,48092,1081.1597,0.022481
2019-08-07,46769,1087.5401,0.023253
2019-08-08,45867,1059.3899,0.023097
2019-08-09,39561,929.4705,0.023495
2019-08-10,41323,972.6074,0.023537
2019-08-11,32932,819.7878,0.024893
2019-08-12,39689,1010.7411,0.025467
2019-08-13,45355,1105.3955,0.024372
2019-08-14,53274,1185.2062,0.022247
2019-08-15,51943,1156.095,0.022257
2019-08-16,45866,1033.9233,0.022542
2019-08-17,43572,1001.823,0.022992
2019-08-18,45329,1094.5413,0.024147
2019-08-19,39571,988.4832,0.02498
2019-08-20,41351,1085.4185,0.026249
2019-08-21,42056,1117.1953,0.026564
2019-08-22,40190,1058.3759,0.026334
2019-08-23,35626,915.3724,0.025694
2019-08-24,32581,841.1394,0.025817
2019-08-25,28313,762.7795,0.026941
2019-08-26,31842,892.4743,0.028028
2019-08-27,31754,871.7883,0.027454
2019-08-28,34884,954.7421,0.027369
2019-08-29,38002,1048.6061,0.027593
2019-08-30,34681,959.117,0.027655
2019-08-31,29863,813.9945,0.027258
2019-09-01,33228,982.5523,0.02957
2019-09-02,33078,1032.6767,0.031219
2019-09-03,33981,1060.3185,0.031203
2019-09-04,34530,1086.7354,0.031472
2019-09-05,43200,1549.0567,0.035858
2019-09-06,38762,1240.138,0.031994
2019-09-07,39480,1226.4416,0.031065
2019-09-08,37052,1182.8485,0.031924
2019-09-09,33377,1101.3542,0.032997
2019-09-10,37719,1241.7374,0.032921
2019-09-11,36096,1204.9481,0.033382
2019-09-12,35417,1148.4454,0.032426
2019-09-13,36761,1211.0869,0.032945
2019-09-14,35936,1134.62,0.031573
2019-09-15,31112,1026.8692,0.033006
2019-09-16,33716,1164.2393,0.034531
2019-09-17,37008,1283.9132,0.034693
2019-09-18,39063,1333.7314,0.034143
2019-09-19,36491,1230.0396,0.033708
2019-09-20,31508,1023.6389,0.032488
2019-09-21,20542,655.6503,0.031918
2019-09-22,33950,1168.9623,0.034432
2019-09-23,34076,1197.5768,0.035144
2019-09-24,36702,1262.1902,0.03439
2019-09-25,41256,1415.2472,0.034304
2019-09-26,37128,1325.1101,0.03569
2019-09-27,35597,1187.1601,0.03335
2019-09-28,198622,6161.6031,0.031022
2019-09-29,40043,1359.9903,0.033963
2019-09-30,31747,1105.1684,0.034812
2019-10-01,40412,1437.1609,0.035563
2019-10-02,63452,1928.3217,0.03039
2019-10-03,50775,1567.3221,0.030868
2019-10-04,43558,1380.9483,0.031704
2019-10-05,43387,1327.0618,0.030587
2019-10-06,42390,1332.6385,0.031438
2019-10-07,39091,1261.8525,0.03228
2019-10-08,37840,1247.9564,0.03298
2019-10-09,44476,1414.9638,0.031814
2019-10-10,38121,1198.6798,0.031444
2019-10-11,32866,1031.0619,0.031372
2019-10-12,36954,1154.5269,0.031242
2019-10-13,33358,1027.6806,0.030808
2019-10-14,31945,999.3247,0.031283
2019-10-15,34410,1102.77,0.032048
2019-10-16,37522,1182.14,0.031505
2019-10-17,31801,998.3453,0.031394
2019-10-18,29189,919.0261,0.031485
2019-10-19,32588,1032.0395,0.031669
2019-10-20,27989,929.3258,0.033203
2019-10-21,31697,1051.1995,0.033164
2019-10-22,35293,1148.1025,0.032531
2019-10-23,37008,1216.9203,0.032883
2019-10-24,37675,1221.282,0.032416
2019-10-25,37261,1204.8221,0.032335
2019-10-26,34845,1119.1237,0.032117
2019-10-27,33399,1122.2226,0.0336
2019-10-28,29691,1040.8023,0.035054
2019-10-29,30235,1052.1758,0.0348
2019-10-30,34411,1191.6195,0.034629
2019-10-31,33133,1146.2919,0.034597
2019-11-01,32518,1118.7632,0.034404
2019-11-02,35299,1208.7732,0.034244
2019-11-03,84406,2738.4625,0.032444
2019-11-04,28038,974.1736,0.034745
2019-11-05,28336,987.2825,0.034842
2019-11-06,29694,1009.426,0.033994
2019-11-07,28221,965.6569,0.034218
2019-11-08,30760,1036.3715,0.033692
2019-11-09,31131,1039.171,0.033381
2019-11-10,25462,888.7046,0.034903
2019-11-11,41049,1412.939,0.034421
2019-11-12,25201,897.3929,0.035609
2019-11-13,27669,957.5164,0.034606
2019-11-14,28256,985.5496,0.034879
2019-11-15,28366,968.8953,0.034157
2019-11-16,31297,1058.6946,0.033827
2019-11-17,25967,921.0245,0.035469
2019-11-18,23989,867.464,0.036161
2019-11-19,25831,913.2263,0.035354
2019-11-20,29013,1009.1684,0.034783
2019-11-21,28532,985.6125,0.034544
2019-11-22,30161,1007.4625,0.033403
2019-11-23,31419,1019.1102,0.032436
2019-11-24,25957,868.9467,0.033476
2019-11-25,38160,1199.47,0.031433
2019-11-26,37160,1174.0162,0.031594
2019-11-27,33628,1245.9616,0.037051
2019-11-28,106257,3103.0279,0.029203
2019-11-29,160875,4444.3424,0.027626
2019-11-30,65381,1847.8138,0.028262
2019-12-01,68468,1806.6986,0.026387
2019-12-02,60843,1626.0401,0.026725
2019-12-03,22951,768.7769,0.033496
2019-12-04,25105,855.7743,0.034088
2019-12-05,22457,758.9954,0.033798
2019-12-06,24432,789.9276,0.032332
2019-12-07,28188,897.8043,0.031851
2019-12-08,23345,793.0539,0.033971
2019-12-09,24980,849.91,0.034024
2019-12-10,28309,940.9229,0.033238
2019-12-11,31451,1025.8241,0.032617
2019-12-12,31493,1006.9618,0.031974
2019-12-13,28924,925.9741,0.032014
2019-12-14,32329,987.6616,0.03055
2019-12-15,28747,915.2002,0.031836
2019-12-16,30041,922.2253,0.030699
2019-12-17,33931,968.3,0.028537
2019-12-18,66070,1684.546,0.025496
2019-12-19,53330,1326.8799,0.024881
2019-12-20,52454,1242.2328,0.023682
2019-12-21,56187,1362.9191,0.024257
2019-12-22,46731,1158.3125,0.024787
2019-12-23,51240,1208.1923,0.023579
2019-12-24,37927,907.8098,0.023936
2019-12-25,13637,408.1893,0.029932
2019-12-26,20328,553.3545,0.027221
2019-12-27,40678,1059.4058,0.026044
2019-12-28,39513,1039.7408,0.026314
2019-12-29,34918,943.2419,0.027013
2019-12-30,34915,908.9407,0.026033
2019-12-31,24393,623.7759,0.025572
2020-01-01,12760,384.8911,0.030164
2020-01-02,44864,1161.7539,0.025895
2020-01-03,46190,1151.6487,0.024933
2020-01-04,44507,1123.3147,0.025239
2020-01-05,34813,909.6353,0.026129
2020-01-06,29430,793.7943,0.026972
2020-01-07,29251,794.4937,0.027161
2020-01-08,38700,991.6768,0.025625
2020-01-09,36746,940.1402,0.025585
2020-01-10,34590,892.5212,0.025803
2020-01-11,36101,927.8258,0.025701
2020-01-12,34899,941.8959,0.026989
2020-01-13,31333,837.9422,0.026743
2020-01-14,32103,859.7937,0.026782
2020-01-15,32972,876.049,0.026569
2020-01-16,33827,894.105,0.026432
2020-01-17,31236,818.4342,0.026202
2020-01-18,34025,883.1992,0.025957
2020-01-19,29787,801.7902,0.026917
2020-01-20,29107,779.9887,0.026797
2020-01-21,25632,693.6894,0.027063
2020-01-22,34075,927.8641,0.02723
2020-01-23,36257,981.1126,0.02706
2020-01-24,38920,1047.5912,0.026917
2020-01-25,43377,1155.7171,0.026644
2020-01-26,43586,1261.968,0.028954
2020-01-27,35427,1003.5247,0.028327
2020-01-28,33689,941.5573,0.027949
2020-01-29,36833,1035.1025,0.028103
2020-01-30,36058,1000.2999,0.027741
2020-01-31,35259,980.2631,0.027802
2020-02-01,38017,1046.3305,0.027523
2020-02-02,31387,911.4704,0.02904
2020-02-03,31845,913.9196,0.028699
2020-02-04,30914,888.8185,0.028751
2020-02-05,36030,1031.7168,0.028635
2020-02-06,41058,1139.3065,0.027749
2020-02-07,38144,1041.4222,0.027302
2020-02-08,39288,1075.7725,0.027382
2020-02-09,33788,984.3282,0.029132
2020-02-10,30260,860.6827,0.028443
2020-02-11,31588,907.1728,0.028719
2020-02-12,29543,844.8249,0.028596
2020-02-13,35157,1030.2786,0.029305
2020-02-14,32158,900.8352,0.028013
2020-02-15,37570,1041.9955,0.027735
2020-02-16,32814,960.8381,0.029281
2020-02-17,32415,927.0687,0.0286
2020-02-18,33069,940.2138,0.028432
2020-02-19,26943,748.2799,0.027773
2020-02-20,39201,1219.9056,0.031119
2020-02-21,34720,968.8738,0.027905
2020-02-22,34562,981.6192,0.028402
2020-02-23,29957,888.3198,0.029653
2020-02-24,30865,923.7791,0.02993
2020-02-25,35114,1026.1117,0.029222
2020-02-26,38859,1157.7318,0.029793
2020-02-27,41095,1235.8996,0.030074
2020-02-28,35822,1038.6404,0.028994
2020-02-29,39676,1156.72,0.029154
2020-03-01,37082,1129.3211,0.030455
2020-03-02,30941,934.8171,0.030213
2020-03-03,36802,1095.0261,0.029755
2020-03-04,56629,1562.9252,0.027599
2020-03-05,46043,1262.9607,0.02743
2020-03-06,40139,1108.4575,0.027615
2020-03-07,44794,1248.627,0.027875
2020-03-08,39775,1129.8142,0.028405
2020-03-09,37516,1061.8138,0.028303
2020-03-10,34895,1004.7736,0.028794
2020-03-11,41503,1186.6468,0.028592
2020-03-12,32748,941.3156,0.028744
2020-03-13,29159,836.1156,0.028674
2020-03-14,33680,963.3604,0.028603
2020-03-15,25601,716.5801,0.02799
2020-03-16,19385,565.9536,0.029195
2020-03-17,23792,706.3706,0.029689
2020-03-18,27091,803.3478,0.029654
2020-03-19,24810,741.6107,0.029892
2020-03-20,25830,765.0279,0.029618
2020-03-21,27792,798.4575,0.02873
2020-03-22,34956,990.284,0.028329
2020-03-23,25907,744.8289,0.02875
2020-03-24,32432,923.3998,0.028472
2020-03-25,34904,1004.0425,0.028766
2020-03-26,35264,1087.2209,0.030831
2020-03-27,31779,953.656,0.030009
2020-03-28,31114,917.7003,0.029495
2020-03-29,34443,1008.5635,0.029282
2020-03-30,36648,1067.1377,0.029119
2020-03-31,34298,1014.0482,0.029566
2020-04-01,39518,1142.6307,0.028914
2020-04-02,39040,1155.1111,0.029588
2020-04-03,55966,1576.8348,0.028175
2020-04-04,80500,2104.1132,0.026138
2020-04-05,36027,1042.2498,0.02893
2020-04-06,41962,1226.3557,0.029225
2020-04-07,44270,1278.2242,0.028873
2020-04-08,52965,1519.2174,0.028683
2020-04-09,50991,1465.6001,0.028742
2020-04-10,41889,1222.2316,0.029178
2020-04-11,162799,3961.9878,0.024337
2020-04-12,31418,915.6819,0.029145
2020-04-13,32744,978.4313,0.029881
2020-04-14,29072,869.6631,0.029914
2020-04-15,33366,1002.8206,0.030055
2020-04-16,34359,1030.1811,0.029983
2020-04-17,32475,971.1502,0.029905
2020-04-18,32065,967.8234,0.030183
2020-04-19,29562,879.9909,0.029768
2020-04-20,36744,1068.9351,0.029091
2020-04-21,30862,916.9765,0.029712
2020-04-22,37893,1129.3183,0.029803
2020-04-23,44438,1316.8854,0.029634
2020-04-24,41437,1218.3786,0.029403
2020-04-25,51396,1361.9393,0.026499
2020-04-26,59238,1522.5411,0.025702
2020-04-27,27850,789.3088,0.028341
2020-04-28,35644,1026.5647,0.0288
2020-04-29,36390,1052.8364,0.028932
2020-04-30,38002,1094.5026,0.028801
2020-05-01,32182,940.8241,0.029234
2020-05-02,27822,815.8017,0.029322
2020-05-03,25087,735.3857,0.029313
2020-05-04,28126,818.7112,0.029109
2020-05-05,25874,752.2998,0.029076
2020-05-06,34129,955.3671,0.027993
2020-05-07,37864,1061.7915,0.028042
2020-05-08,43071,1170.8912,0.027185
2020-05-09,43018,1162.6161,0.027026
2020-05-10,26039,770.1804,0.029578
2020-05-11,37795,1058.5345,0.028007
2020-05-12,37670,1048.2912,0.027828
2020-05-13,41121,1140.7255,0.027741
2020-05-14,45407,1259.9599,0.027748
2020-05-15,42451,1152.4352,0.027147
2020-05-16,41721,1116.5139,0.026761
2020-05-17,34390,950.6213,0.027642
2020-05-18,44982,1226.4625,0.027266
2020-05-19,49952,1331.3666,0.026653
2020-05-20,58890,1543.6521,0.026212
2020-05-21,48272,1290.6507,0.026737
2020-05-22,67789,1737.1374,0.025626
2020-05-23,62966,1629.9806,0.025887
2020-05-24,41785,1184.2837,0.028342
2020-05-25,51475,1381.3,0.026834
2020-05-26,56595,1523.1479,0.026913
2020-05-27,62439,1665.7547,0.026678
2020-05-28,60745,1644.9592,0.02708
2020-05-29,59463,1563.8377,0.026299
2020-05-30,60861,1564.1618,0.025701
2020-05-31,31834,948.0492,0.029781
2020-06-01,43084,1232.2898,0.028602
2020-06-02,44666,1198.8877,0.026841
2020-06-03,53187,1420.1547,0.026701
2020-06-04,50470,1386.1382,0.027465
2020-06-05,44470,1179.408,0.026521
2020-06-06,48649,1239.7504,0.025484
2020-06-07,36733,1049.22,0.028563
2020-06-08,38117,1079.4797,0.02832
2020-06-09,39370,1058.2374,0.026879
2020-06-10,42585,1133.3059,0.026613
2020-06-11,44044,1150.1527,0.026114
2020-06-12,43804,1110.5239,0.025352
2020-06-13,46088,1159.8153,0.025165
2020-06-14,32087,880.3206,0.027435
2020-06-15,40427,1048.5014,0.025936
2020-06-16,49855,1292.0448,0.025916
2020-06-17,110981,2540.1134,0.022888
2020-06-18,84563,1916.1871,0.02266
2020-06-19,77241,1755.3048,0.022725
2020-06-20,67788,1533.4147,0.022621
2020-06-21,56469,1369.5237,0.024253
2020-06-22,75334,1776.1569,0.023577
2020-06-23,77067,1803.5381,0.023402
2020-06-24,98790,2195.5817,0.022225
2020-06-25,88684,1976.2762,0.022284
2020-06-26,77452,1726.0801,0.022286
2020-06-27,74671,1676.1384,0.022447
2020-06-28,63485,1458.1629,0.022969
2020-06-29,53193,1259.7523,0.023683
2020-06-30,61153,1450.8982,0.023726
2020-07-01,59443,1395.5045,0.023476
2020-07-02,55884,1295.3464,0.023179
2020-07-03,51212,1175.5879,0.022955
2020-07-04,46408,1095.8934,0.023614
2020-07-05,38401,936.9381,0.024399
2020-07-06,40933,999.5496,0.024419
2020-07-07,45138,1079.2765,0.023911
2020-07-08,49839,1191.3087,0.023903
2020-07-09,43016,1016.7821,0.023637
2020-07-10,43922,1026.2699,0.023366
2020-07-11,40292,948.1258,0.023531
2020-07-12,29794,729.0827,0.024471
2020-07-13,41095,987.1954,0.024022
2020-07-14,38714,927.3982,0.023955
2020-07-15,51387,1212.0864,0.023587
2020-07-16,45465,1079.9238,0.023753
2020-07-17,42666,991.5459,0.02324
2020-07-18,37666,883.264,0.02345
2020-07-19,28801,702.2081,0.024381
2020-07-20,40657,977.8743,0.024052
2020-07-21,42886,1035.6935,0.02415
2020-07-22,46368,1138.9971,0.024564
2020-07-23,44976,1097.8659,0.02441
2020-07-24,46496,1132.1814,0.02435
2020-07-25,41058,1001.3312,0.024388
2020-07-26,33688,839.0154,0.024905
