date,products,gmv,return_rate,avg_rating
2024-10-21,2,82.41,0.5,4.3
2024-10-23,1,28.82,0.0,2.8
2024-10-24,2,181.55,0.0,0.0
2024-10-25,2,198.93,1.0,3.35
2024-10-26,3,318.57,0.3333,2.033
2024-10-27,1,66.62,0.0,0.0
2024-10-29,2,61.85,0.0,3.35
2024-10-31,1,95.85,0.0,0.0
2024-11-02,4,379.77,0.0,3.125
2024-11-03,2,192.59,0.0,1.15
2024-11-04,1,116.61,0.0,0.0
2024-11-06,3,209.19,0.0,2.0
2024-11-07,1,74.54,0.0,3.5
2024-11-08,2,189.49,0.0,2.35
2024-11-09,2,166.5,0.0,4.9
2024-11-11,2,192.35,0.0,0.0
2024-11-12,1,63.42,1.0,2.9
2024-11-13,1,74.13,0.0,0.0
2024-11-14,1,42.47,1.0,4.5
2024-11-15,1,31.51,0.0,2.7
2024-11-16,3,285.54,0.0,2.267
2024-11-17,2,187.63,0.0,2.7
2024-11-20,2,255.26,0.0,1.85
2024-11-21,2,228.39,0.0,2.1
2024-11-22,1,162.97,1.0,2.2
2024-11-23,2,44.12,0.0,0.0
2024-11-24,1,115.77,0.0,0.0
2024-11-25,1,133.82,0.0,1.7
2024-11-26,1,72.83,0.0,2.0
2024-11-27,2,180.73,0.0,2.05
2024-11-28,2,96.53,0.0,1.7
2024-12-02,1,138.69,0.0,2.9
2024-12-03,2,52.13,0.5,2.5
2024-12-04,1,121.25,1.0,4.5
2024-12-05,1,43.47,0.0,1.8
2024-12-06,2,130.21,0.0,2.9
2024-12-07,1,74.3,0.0,4.4
2024-12-08,1,22.72,1.0,2.4
2024-12-10,2,129.43,0.0,2.6
2024-12-12,1,96.35,0.0,3.7
2024-12-16,2,126.77,0.0,2.45
2024-12-17,2,271.78,0.5,2.95
2024-12-19,4,458.45,0.0,2.325
2024-12-20,1,78.91,0.0,4.3
2024-12-21,3,272.65,0.0,1.267
2024-12-22,1,28.21,0.0,0.0
2024-12-23,3,183.52,0.3333,2.133
2024-12-24,1,120.11,0.0,4.1
2024-12-25,4,423.4,0.0,2.325
2024-12-27,4,324.81,0.0,3.025
2024-12-29,2,122.87,0.5,3.55
2024-12-30,1,42.92,0.0,4.4
2024-12-31,1,67.9,0.0,1.3
2025-01-02,1,139.26,0.0,3.4
2025-01-04,2,111.23,0.0,1.7
2025-01-07,2,134.53,0.0,2.55
2025-01-08,1,147.52,0.0,4.0
2025-01-09,1,81.56,0.0,3.0
2025-01-10,2,240.15,0.0,1.05
2025-01-12,3,243.26,0.3333,1.933
2025-01-13,2,199.72,0.5,0.7
2025-01-14,2,59.19,0.0,2.45
2025-01-15,1,84.21,0.0,3.4
2025-01-17,2,146.33,0.0,4.4
2025-01-18,1,119.72,0.0,3.7
2025-01-19,2,86.32,0.0,2.9
2025-01-21,1,39.56,0.0,0.0
2025-01-22,2,163.71,0.0,2.6
2025-01-23,1,58.56,0.0,2.3
2025-01-24,2,244.7,0.0,1.55
2025-01-26,2,110.73,0.0,3.25
2025-01-27,4,481.68,0.5,2.65
2025-01-28,1,75.78,0.0,3.6
2025-01-29,1,144.02,0.0,4.0
2025-01-30,3,385.24,0.6667,2.0
2025-01-31,2,278.49,0.0,1.3
2025-02-01,1,53.59,0.0,0.0
2025-02-03,4,245.71,0.0,2.0
2025-02-04,1,35.5,0.0,4.4
2025-02-05,2,94.43,0.0,1.3
2025-02-07,3,492.84,0.3333,3.567
2025-02-09,1,95.19,0.0,4.1
2025-02-10,2,212.14,0.0,1.95
2025-02-11,1,80.82,0.0,0.0
2025-02-12,1,93.46,0.0,2.2
2025-02-13,1,14.01,0.0,2.6
2025-02-14,3,255.49,0.3333,1.567
2025-02-15,4,336.86,0.0,2.825
2025-02-16,2,186.1,0.0,2.3
2025-02-17,1,48.02,0.0,1.8
2025-02-18,1,75.99,1.0,1.7
2025-02-20,2,342.91,0.0,4.45
2025-02-23,3,348.08,0.0,3.0
2025-02-24,1,46.97,0.0,2.6
2025-02-26,1,96.76,0.0,0.0
2025-02-28,2,135.18,0.5,2.85
2025-03-03,2,124.68,0.0,4.0
2025-03-05,2,278.19,0.0,1.3
2025-03-06,2,56.15,0.0,3.8
2025-03-07,2,187.29,0.5,1.6
2025-03-08,1,178.05,0.0,0.0
2025-03-09,1,50.12,0.0,2.4
2025-03-11,1,29.35,0.0,1.9
2025-03-13,1,57.91,0.0,3.9
2025-03-14,4,367.89,0.25,2.525
2025-03-15,1,29.19,0.0,1.9
2025-03-16,1,178.56,0.0,2.6
2025-03-17,3,209.11,0.3333,1.9
2025-03-18,3,195.28,0.0,2.3
2025-03-20,2,111.6,0.5,3.05
2025-03-22,1,151.1,0.0,2.4
2025-03-24,1,198.58,0.0,0.0
2025-03-25,3,326.29,0.0,2.533
2025-03-26,2,168.92,0.0,3.1
2025-03-27,3,166.95,0.3333,2.067
2025-03-28,1,138.45,0.0,3.3
2025-03-29,2,116.67,0.0,2.2
2025-03-30,1,145.16,0.0,0.0
2025-03-31,1,80.14,0.0,5.0
2025-04-01,3,353.48,0.0,2.3
2025-04-02,2,250.34,0.0,4.45
2025-04-04,2,253.8,0.5,2.8
2025-04-05,4,405.12,0.0,2.275
2025-04-06,2,166.17,0.5,3.55
2025-04-07,1,75.84,0.0,4.1
2025-04-09,1,78.04,0.0,4.9
2025-04-10,1,60.54,0.0,1.7
2025-04-12,5,538.56,0.2,3.74
2025-04-13,3,406.46,0.3333,1.9
2025-04-14,1,39.35,0.0,0.0
2025-04-15,3,304.55,0.0,1.767
2025-04-16,5,573.78,0.0,2.34
2025-04-17,1,192.58,0.0,1.2
2025-04-18,2,207.97,0.0,2.45
2025-04-22,1,52.36,0.0,0.0
2025-04-23,3,251.84,0.3333,2.067
2025-04-24,2,88.25,0.0,0.0
2025-04-25,6,610.69,0.0,3.583
2025-04-26,3,170.52,0.0,2.167
2025-04-28,1,74.61,0.0,2.8
2025-04-29,4,424.81,0.0,2.125
2025-04-30,1,37.04,1.0,1.7
2025-05-01,2,85.11,0.0,1.6
2025-05-02,1,164.75,0.0,3.7
2025-05-03,2,286.72,0.0,3.85
2025-05-06,2,72.25,0.5,0.75
2025-05-07,1,66.9,0.0,2.8
2025-05-08,2,199.66,0.5,2.45
2025-05-09,5,443.27,0.2,3.34
2025-05-10,2,163.96,0.0,3.65
2025-05-11,1,79.27,0.0,3.5
2025-05-12,2,222.87,0.0,1.4
2025-05-14,1,13.03,1.0,4.4
2025-05-15,1,132.99,0.0,2.1
2025-05-16,2,108.76,0.0,3.0
2025-05-17,2,297.84,0.5,2.65
2025-05-18,1,126.14,0.0,3.6
2025-05-19,3,215.31,0.0,2.5
2025-05-20,1,29.26,1.0,1.5
2025-05-21,2,177.13,0.0,3.75
2025-05-23,4,193.44,0.25,2.025
2025-05-24,1,20.15,0.0,4.7
2025-05-26,2,220.42,0.0,3.2
2025-05-27,2,102.18,0.0,2.25
2025-05-28,2,142.18,0.5,2.5
2025-05-29,1,92.96,0.0,1.2
2025-05-30,3,129.18,0.0,2.2
2025-06-01,1,67.76,1.0,3.6
2025-06-03,1,106.12,0.0,3.2
2025-06-04,2,211.85,0.0,2.65
2025-06-05,1,40.01,0.0,4.5
2025-06-07,1,95.33,1.0,0.0
2025-06-08,1,171.92,0.0,1.3
2025-06-09,1,152.32,0.0,0.0
2025-06-10,4,370.3,0.5,2.2
2025-06-11,1,26.99,0.0,3.7
2025-06-12,1,166.76,0.0,4.2
2025-06-13,3,152.22,0.0,3.933
2025-06-14,2,136.08,0.0,4.85
2025-06-15,1,35.87,0.0,2.8
2025-06-17,2,252.81,0.5,3.55
2025-06-18,1,131.25,0.0,1.6
2025-06-19,1,19.96,0.0,1.4
2025-06-20,2,59.54,0.0,5.0
2025-06-24,1,245.87,0.0,2.6
2025-06-27,4,367.12,0.0,3.85
2025-06-28,1,49.12,0.0,0.0
2025-07-02,2,177.52,0.5,3.4
2025-07-03,2,113.15,0.0,3.5
2025-07-04,2,290.39,0.0,1.35
2025-07-05,1,196.01,0.0,3.0
2025-07-07,2,153.14,0.5,2.55
2025-07-08,2,117.69,0.0,4.6
2025-07-09,1,146.07,0.0,3.7
2025-07-10,2,202.63,0.5,2.7
2025-07-11,3,265.89,0.0,3.567
2025-07-13,1,136.1,0.0,3.1
2025-07-14,3,381.04,0.0,1.867
2025-07-15,1,33.06,0.0,2.7
2025-07-16,2,159.04,0.0,1.95
2025-07-17,4,435.56,0.0,1.45
2025-07-20,1,92.83,0.0,1.2
2025-07-22,3,324.54,0.3333,1.767
2025-07-23,4,346.79,0.0,2.125
2025-07-24,4,354.88,0.25,3.65
2025-07-25,1,63.23,0.0,0.0
2025-07-26,3,187.79,0.0,2.733
2025-07-27,2,49.15,0.0,2.85
2025-07-28,1,42.36,0.0,2.2
2025-07-29,1,97.29,0.0,4.5
2025-07-30,2,196.8,0.5,3.45
2025-07-31,4,208.84,0.0,2.95
2025-08-01,1,136.0,0.0,4.5
2025-08-02,2,195.48,0.0,3.95
2025-08-03,1,31.54,0.0,1.3
2025-08-05,2,122.36,0.0,0.75
2025-08-06,1641,139621.83,0.1511,2.497
